MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2021,Mahindra,XUV 3OO 1.2 W6 MT,,"31,273 km",PetrolDL-3C,1st Owner,"₹10,95,000"
2020,Mahindra,XUV 3OO 1.2 W6 MT,,"30,557 km",PetrolDL-10,1st Owner,"₹9,19,000"
2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"41,356 km",DieselUP-14,1st Owner,"₹8,30,000"
2022,Mahindra,XUV 3OO 1.2 W6 AT,,"22,158 km",PetrolDL-1C,1st Owner,"₹10,36,000"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"26,959 km",PetrolDL-8C,1st Owner,"₹6,94,000"
2019,Hyundai,Creta 1.4 S CRDI,Manual,"73,150 km",DieselHR-26,1st Owner,"₹8,96,699"
2020,Tata,NEXON XZ+ OPT PETROL,Manual,"29,063 km",PetrolHR-26,1st Owner,"₹9,19,000"
2019,Maruti,Vitara Brezza ZDI,Manual,"22,050 km",DieselUP-14,1st Owner,"₹8,76,000"
2017,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"1,07,173 km",DieselDL-12,1st Owner,"₹5,07,000"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"40,336 km",PetrolUP-16,1st Owner,"₹7,85,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"57,770 km",PetrolHR-76,1st Owner,"₹10,06,000"
2021,Hyundai,Creta S PETROL MT,Manual,"17,032 km",PetrolHR-30,1st Owner,"₹13,43,000"
2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"16,165 km",DieselHR-51,2nd Owner,"₹9,06,000"
2017,Hyundai,Creta 1.6 E + VTVT,Manual,"26,792 km",PetrolUP-14,1st Owner,"₹9,04,000"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"32,463 km",PetrolHR-26,2nd Owner,"₹16,15,000"
2021,Tata,NEXON XZA+ (O) 1.2 RTN,Automatic,"21,037 km",PetrolHR-26,1st Owner,"₹10,80,000"
2018,Mahindra,TUV300 T4+,Manual,"42,979 km",DieselDL-12,1st Owner,"₹6,25,000"
2018,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"63,667 km",DieselDL-9C,1st Owner,"₹8,77,000"
2018,Honda,WR-V 1.5 S MT  i-DTEC  Edge Edition,Manual,"86,235 km",DieselUP-14,1st Owner,"₹6,78,000"
2021,Ford,Ecosport 1.5 TREND TDCI,Manual,"18,786 km",DieselHR-51,1st Owner,"₹8,13,000"
2021,Tata,Harrier XZA  DUAL TONE,Automatic,"17,524 km",DieselUP-14,1st Owner,"₹17,94,000"
2017,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"26,892 km",DieselDL-10,1st Owner,"₹7,07,000"
2018,Maruti,Vitara Brezza ZDI,Manual,"40,579 km",DieselDL-3C,2nd Owner,"₹7,65,699"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"34,036 km",PetrolDL-14,1st Owner,"₹15,65,000"
2019,Hyundai,Creta 1.6 SX VTVT,Manual,"3,058 km",PetrolHR-51,1st Owner,"₹12,40,000"
2021,Renault,Duster RXZ CVT 1.3 TURBO,Automatic,"10,831 km",PetrolDL-7C,1st Owner,"₹14,08,000"
2016,Hyundai,Creta 1.6 S,Manual,"75,274 km",PetrolDL-2C,1st Owner,"₹8,18,000"
2019,Tata,NEXON XZA + 1.2 PETROL A/T,Automatic,"37,012 km",PetrolDL-3C,1st Owner,"₹9,29,000"
2019,Tata,NEXON XM 1.2,Manual,"20,490 km",PetrolDL-8C,1st Owner,"₹7,19,000"
2017,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"58,890 km",DieselUP-16,1st Owner,"₹9,19,000"
2019,Maruti,Vitara Brezza ZDI,Manual,"39,696 km",DieselDL-3C,1st Owner,"₹8,17,000"
2017,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"84,344 km",DieselDL-14,1st Owner,"₹6,90,000"
2019,KIA,SELTOS HTK 1.5 PETROL,Manual,"25,687 km",PetrolDL-12,1st Owner,"₹11,34,000"
2017,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"51,634 km",PetrolDL-3C,1st Owner,"₹5,65,000"
2019,Tata,NEXON XZA + 1.2 PETROL A/T,Automatic,"40,755 km",PetrolDL-11,1st Owner,"₹9,05,000"
2013,Maruti,Ertiga VXI,Manual,"44,603 km",PetrolDL-12,1st Owner,"₹5,22,000"
2015,Hyundai,Creta 1.6 S,Manual,"27,923 km",PetrolUP-32,1st Owner,"₹8,47,000"
2021,KIA,SELTOS HTK PLUS 1.5 PETROL,Manual,"5,500 km",PetrolHR-06,1st Owner,"₹12,17,000"
2020,Maruti,S Cross ALPHA AT SMART HYBRID,Automatic,"22,816 km",PetrolHR-51,1st Owner,"₹12,34,000"
2015,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"47,620 km",Petrol + CNGDL-10,2nd Owner,"₹5,79,000"
2020,Honda,City VX CVT PETROL,Automatic,"26,130 km",PetrolUP-14,2nd Owner,"₹12,58,100"
2015,Honda,City V MT PETROL,Manual,"62,672 km",PetrolUP-14,2nd Owner,"₹6,23,000"
2014,Honda,Amaze 1.2 EMT I VTEC,Manual,"49,946 km",PetrolDL-3C,1st Owner,"₹3,91,000"
2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"63,946 km",PetrolHR-16,1st Owner,"₹3,54,000"
2017,Maruti,Dzire VXI,Manual,"31,900 km",PetrolDL-9C,1st Owner,"₹6,49,000"
2017,Honda,City V MT PETROL,Manual,"18,711 km",PetrolDL-3C,1st Owner,"₹8,93,000"
2011,Maruti,Swift Dzire VXI,Manual,"93,713 km",PetrolDL-3C,1st Owner,"₹2,10,000"
2009,Maruti,Swift Dzire VXI 1.3,Manual,"26,597 km",PetrolDL-9C,2nd Owner,"₹2,10,000"
2019,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"39,599 km",PetrolDL-9C,1st Owner,"₹8,82,000"
2019,Maruti,Ciaz 1.5 SIGMA SHVS,Manual,"38,917 km",PetrolDL-5C,1st Owner,"₹7,38,000"
2020,Hyundai,Verna S+ DIESEL MT,Manual,"24,480 km",DieselUP-32,1st Owner,"₹10,29,000"
2019,Maruti,Dzire VXI,Manual,"18,645 km",PetrolDL-6C,1st Owner,"₹7,05,000"
2017,Honda,Amaze 1.2 SMT I VTEC,Manual,"73,209 km",Petrol + CNGDL-9C,2nd Owner,"₹4,79,000"
2014,Honda,Amaze 1.2 EMT I VTEC,Manual,"27,324 km",PetrolDL-13,1st Owner,"₹4,31,000"
2015,Maruti,Ciaz VXI PLUS,Manual,"89,252 km",PetrolUP-14,1st Owner,"₹4,91,000"
2018,Honda,City V MT PETROL,Manual,"14,363 km",PetrolDL-8C,1st Owner,"₹9,02,000"
2012,Maruti,Swift Dzire VXI,Manual,"69,375 km",PetrolDL-3C,1st Owner,"₹3,70,000"
2018,Honda,Amaze 1.5 V CVT I-DTEC,Automatic,"70,270 km",DieselDL-10,2nd Owner,"₹6,22,000"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"14,217 km",PetrolUP-14,1st Owner,"₹5,85,000"
2021,Hyundai,AURA S 1.2 Kappa MT,Manual,"26,468 km",PetrolDL-7C,1st Owner,"₹6,50,000"
2015,Maruti,Ciaz VXI PLUS,Manual,"75,823 km",PetrolUP-16,1st Owner,"₹5,38,000"
2011,Toyota,Etios VX,Manual,"35,311 km",PetrolDL-3C,1st Owner,"₹3,30,000"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"10,439 km",PetrolDL-10,1st Owner,"₹11,54,000"
2012,Maruti,Swift Dzire VXI,Manual,"61,580 km",PetrolUP-14,1st Owner,"₹3,61,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"16,292 km",PetrolHR-26,2nd Owner,"₹10,38,000"
2018,Maruti,Dzire VXI AMT,Automatic,"42,365 km",PetrolDL-9C,1st Owner,"₹6,19,000"
